aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
abanico	 1. m. Instrumento para hacer o hacerse aire, que comúnmente tiene pie de varillas y país de tela, papel o piel, y se abre formando semicírculo. 2. m. Cosa en forma de abanico, como la cola del pavo real. 3. m. Serie, conjunto de diversas propuestas, opciones, etc., generalmente para elegir entre ellas. 4. m. En algunas armaduras antiguas, parte lateral del codal o de la rodillera, en forma de abanico. 5. m. coloq. Antigua cárcel modelo de Madrid, construida sobre planta de abanico. EL abanico 6. m. coloq. sable (‖ arma blanca). 7. m. Mar. Especie de cabria hecha con elementos de a bordo. 8. m. Cuba. Pieza de madera en forma de abanico, con una ranura arqueada en su parte media, por la que corre un listón que remata en disco y sirve, en las vías férreas, para advertir al maquinista el punto en que aquellas se bifurcan y la dirección que por allí ha de seguir el tren. 9. m. Ec. soplillo (‖ ruedo pequeño para avivar el fuego). en ~. 1. loc. adv. En forma de abanico. parecer alguien ~ de tonta. 1. loc. verb. coloq. p. us. Moverse mucho y sin concierto. □ V. vela de abanico 
abanillo	 1. m. Adorno de lienzo afollado del que se formaban ciertos cuellos alechugados. 2. m. desus. abanico (‖ para hacer aire). 
abanino	 1. m. desus. Adorno de gasa u otra tela blanca con que ciertas damas de la corte guarnecían el escote del jubón. 
abaniqueo	 1. m. Acción de abanicar o abanicarse. 
abaniquería	 1. f. Fábrica o tienda de abanicos. 
abaniquero	 1. m. y f. Persona que hace o vende abanicos. 
abano	 1. m. p. us. abanico (‖ para hacer aire). 2. m. p. us. Aparato en forma de abanico que, colgado del techo, sirve para hacer aire. 
abanto	 1. adj. Aturdido y torpe. 2. m. Ave rapaz semejante al buitre, pero más pequeña, con la cabeza y cuello cubiertos de pluma, y el color blanquecino. Es muy tímida y perezosa, se alimenta de sustancias animales descompuestas, vive ordinariamente en el África septentrional y pasa en verano a Europa. 3. m. Cualquier otra ave de la familia de los buitres. 
abaratamiento	 1. m. Acción y efecto de abaratar. 
abaratar	 1. tr. Disminuir o bajar el precio de algo, hacerlo barato o más barato. U. t. c. prnl. 
abarbechar	 1. tr. barbechar. 
abarca	 1. f. Calzado de cuero crudo que cubre solo la planta de los pies, con reborde en torno, y se asegura con cuerdas o correas sobre el empeine y el tobillo. Se hace también de caucho. 2. f. Cantb. y Pal. zueco (‖ zapato de madera). 
abarcado	 1. adj. Calzado con abarcas. 
abarcador	 1. adj. Que abarca. U. t. c. s. 
abarcadura	 1. f. Acción y efecto de abarcar. 
abarcamiento	 1. m. abarcadura. 
abarcar	 1. tr. Ceñir algo con los brazos o con la mano. 2. tr. Rodear, comprender. 3. tr. Contener, implicar o encerrar en sí. 4. tr. Percibir o dominar con la vista, de una vez, algo en su totalidad. 5. tr. Tomar alguien a su cargo muchas cosas o negocios a un tiempo. 6. tr. Cineg. Rodear un trozo de monte en que se supone que está la caza. 7. tr. Am. acaparar. 8. tr. Ec. Dicho de una gallina: Empollar los huevos. 
abarcón	 1. m. En los coches antiguos, aro de hierro que afianzaba la lanza dentro de la punta de la tijera. 
abarcuzar	 1. tr. abarcar (‖ tomar a cargo muchas cosas). 2. tr. León, Sal. y Zam. abarcar (‖ ceñir con los brazos). 3. tr. León, Sal. y Zam. abarcar (‖ rodear). 4. tr. rur. y vulg. Sal. Ansiar, codiciar. 
abaritonado	 1. adj. Dicho de la voz: Parecida a la del barítono. 2. adj. Dicho de un instrumento: Cuyo sonido tiene timbre semejante al de la voz del barítono. 
abarloar	 1. tr. Mar. Situar un buque de tal suerte que su costado esté casi en contacto con el de otro buque, o con una batería, muelle, etc. U. t. c. prnl. 
abarquero	 1. m. y f. Persona que hace o vende abarcas. 
abarquillado	 1. adj. De forma de barquillo. 
abarquillamiento	 1. m. Acción y efecto de abarquillar. 
abarquillar	 1. tr. Dar a una cosa delgada, como una lámina, una plancha, un papel, etc., forma de barquillo, alabeada o enrollada. U. t. c. prnl. 
abarracar	 1. intr. Mil. p. us. Acampar en chozas o barracas. U. t. c. prnl. 
abarrado	 1. adj. Dicho de un paño: barrado (‖ que saca alguna lista). 
abarraganamiento	 1. m. amancebamiento. 
abarraganarse	 1. prnl. amancebarse. 
abarrajar	 1. tr. atropellar. 2. prnl. Perú. encanallarse. 
abarramiento	 1. m. desus. Acción y efecto de abarrar. 
abarrancadero	 1. m. Sitio donde es fácil abarrancarse. 2. m. Negocio o lance de que no se puede salir fácilmente. 
abarrancamiento	 1. m. Acción y efecto de abarrancar o abarrancarse. 
abarrancar	 1. tr. Dicho de la erosión o de la acción de los elementos: Formar barrancos en un terreno. 2. tr. Meter en un barranco. U. t. c. prnl. 3. intr. varar (‖ encallar una embarcación). U. t. c. prnl. 4. prnl. Meterse en negocio o lance del que no se puede salir fácilmente. 
abarrar	 1. tr. desus. Arrojar, tirar violentamente algo. 2. tr. desus. Golpear, apalear. 
abarraz	 1. m. p. us. estafisagria. 
abarredera	 1. f. ant. barredera. 2. f. pl. Alb. Ganchos para sacar de los pozos cubos o latas. 
abarrenar	 1. tr. desus. barrenar. 
abarrer	 1. tr. desus. barrer (‖ llevárselo todo). 
abarrisco	 1. adv. m. a barrisco. 
abarrotar	 1. tr. Apretar o fortalecer con barrotes algo. 2. tr. Llenar completamente, atestar de géneros u otras cosas una tienda, un almacén, etc. 3. tr. Llenar un espacio de personas o cosas. 4. tr. Mar. Asegurar la estiba con abarrotes. 5. tr. Mar. Cargar un buque aprovechando hasta los sitios más pequeños de su bodega y cámaras, y a veces parte de su cubierta. 6. tr. Am. Saturar de productos el mercado, de manera que se deprecian por su excesiva abundancia. 
abarrote	 1. m. Mar. Fardo pequeño o cuña que sirve para apretar la estiba, llenando sus huecos. 2. m. pl. Am. Artículos para el abasto. 3. m. pl. Col., Ec. y Perú. pulpería. 
abarrotero	 1. m. y f. Bol., Col., Ec. y Méx. Persona que tiene tienda o despacho de abarrotes. 
abarse	 1. prnl. defect. Apartarse, quitarse del paso, dejar libre el camino. MORF. U. en infinit. y en imper. 
abastadamente	 1. adv. m. desus. Abundante o copiosamente. 
abastamiento	 1. m. desus. abastecimiento. 
abastante	 1. adj. desus. Bastante o suficiente. 
abastanza	 1. f. desus. copia (‖ abundancia). 2. adv. c. desus. bastantemente. 
abastar	 1. tr. abastecer. U. t. c. prnl. 2. intr. desus. bastar (‖ ser suficiente). U. c. dialect. 3. prnl. desus. Satisfacerse o contentarse. 
abastardar	 1. intr. bastardear. 
abastecedor	 1. adj. Que abastece. U. t. c. s. 2. m. C. Rica. Tienda de comestibles y otros enseres de uso doméstico. 
abastecer	 1. tr. Proveer de bastimentos, víveres u otras cosas necesarias. U. t. c. prnl. MORF. conjug. c. agradecer. 
abastecimiento	 1. m. Acción y efecto de abastecer. □ V. libreta de abastecimientos 
abastero	 1. m. Chile. Comprador de reses vivas, destinadas al matadero. 
abastimiento	 1. m. desus. abastecimiento. 
abastionar	 1. tr. Mil. Fortificar con bastiones. 
abasto	 1. m. Provisión de bastimentos, y especialmente de víveres. U. t. en pl. con el mismo significado que en sing. 2. m. abundancia. 3. m. En el arte del bordado, pieza o piezas menos principales de la obra. 4. m. Ven. Tienda pequeña de comestibles. U. t. en pl. con el mismo significado que en sing. 5. adv. m. desus. Copiosa o abundantemente. dar ~. 1. loc. verb. Dar o ser bastante, bastar, proveer suficientemente. U. m. con neg. □ V. plaza de abastos 
abatanar	 1. tr. Batir o golpear el paño en el batán para desengrasarlo y enfurtirlo. 2. tr. p. us. Batir o golpear de otro modo, maltratar. 3. prnl. NO Arg. y Bol. p. us. Dicho de un tejido: Desgastarse, apelmazarse por el uso o el lavado. 
abate	 1. m. Eclesiástico de órdenes menores, y a veces simple tonsurado, que solía vestir traje clerical a la romana. 2. m. Presbítero extranjero, especialmente francés o italiano, y también eclesiástico español que ha residido mucho tiempo en Francia o Italia. 3. m. Clérigo dieciochesco frívolo y cortesano. 
abatidero	 1. m. Cauce de desagüe. 
abatido	 1. adj. Abyecto, ruin, despreciable. 2. adj. Dicho de una mercancía: Que ha caído de su estimación y precio regular. 
abatidura	 1. f. ant. Acción de abatirse (‖ descender el ave). 
abatimiento	 1. m. Acción y efecto de abatir o abatirse. 2. m. Humillación, afrenta o bajeza. 3. m. Postración física o moral de una persona. 4. m. Mar. Ángulo que forma la línea de la quilla con la dirección que realmente sigue la nave. 5. m. desus. Persona o cosa afrentosa. 
abatir	 1. tr. Derribar, derrocar, echar por tierra. U. t. c. prnl. 2. tr. Hacer que algo caiga o descienda. Abatir las velas de una embarcación. U. t. en sent. fig. Roma abatió el poder de Cartago. 3. tr. Inclinar, tumbar, poner tendido lo que estaba vertical. Abatir los palos de un buque, la chimenea de un vapor. 4. tr. humillar. U. t. c. prnl. 5. tr. Hacer perder el ánimo, las fuerzas, el vigor. U. m. c. prnl. 6. tr. Desarmar o descomponer algo, especialmente una tienda de campaña y, en la Marina, la pipería y los camarotes. 7. tr. Dicho de un jugador: En determinados juegos de naipes, conseguir la jugada máxima y descubrir sus cartas, generalmente en forma de abanico sobre la mesa. 8. tr. Geom. Hacer girar alrededor de su traza un plano secante a otro, hasta superponerlo a este. U. t. c. prnl. 9. intr. Mar. Dicho de un buque: Desviarse de su rumbo a impulso del viento o de una corriente. 10. prnl. Dicho de un ave, de un avión, etc.: Descender, precipitarse a tierra o sobre una presa. El cuervo se abatió sobre una peña. Los bombarderos se abatían sobre la población. U. t. en sent. fig. La desgracia se abatió sobre mí. 
abatismo	 1. m. p. us. Poder de los abates. 2. m. p. us. Conjunto de abates. 
abatojar	 1. tr. Ar. Batir las alubias u otras legumbres después de secas, para que las vainas suelten el grano. 
abayado	 1. adj. Bot. Parecido a la baya. 2. adj. R. Dom. Agotado por el calor excesivo o por un trabajo duro. 
abazón	 1. m. Zool. Cada uno de los dos sacos o bolsas que dentro de la boca tienen muchos monos y algunos roedores, para depositar los alimentos antes de masticarlos. 
abderitano	 1. adj. Natural de Abdera, hoy Adra, en España. U. t. c. s. 2. adj. Natural de Abdera, hoy Balastra, en Tracia. 3. adj. Perteneciente o relativo a alguna de estas dos antiguas ciudades. 
abdicación	 1. f. Acción y efecto de abdicar. 2. f. Documento en que consta la abdicación. 
abdicar	 1. tr. Dicho de un rey o de un príncipe: Ceder su soberanía o renunciar a ella. U. t. en sent. fig. 2. tr. Renunciar a derechos, ventajas, opiniones, etc., o cederlos. 3. tr. desus. Privar a alguien de un estado favorable, de un derecho, facultad o poder. 
abdicativamente	 1. adv. m. Por delegación. 
abdicativo	 1. adj. Perteneciente o relativo a la abdicación. 
abdomen	 1. m. Anat. vientre (‖ cavidad del cuerpo de los vertebrados). En los mamíferos queda limitada por el diafragma. 2. m. Anat. vientre (‖ conjunto de vísceras). 3. m. Zool. En muchos animales invertebrados, región que sigue al tórax; p. ej., en los insectos. 4. m. Adiposidad, gordura. 5. m. Vientre del hombre o de la mujer, en especial cuando es prominente. 
abdominal	 1. adj. Perteneciente o relativo al abdomen. Extremidades abdominales □ V. aleta abdominal aorta abdominal tifus abdominal 
abducción	 1. f. Movimiento por el cual un miembro u otro órgano se aleja del plano medio que divide imaginariamente el cuerpo en dos partes simétricas. Abducción del brazo, del ojo. 2. f. Supuesto secuestro de seres humanos, llevado a cabo por criaturas extraterrestres, con objeto de someterlos a experimentos diversos en el interior de sus naves espaciales. 3. f. Fil. Silogismo cuya premisa mayor es evidente y la menor menos evidente o solo probable. 
abductor	 1. adj. Capaz de ejecutar una abducción. U. t. c. s. 
abecé	 1. m. abecedario (‖ serie de las letras de un idioma). 2. m. abecedario (‖ cartel o libro para enseñar a leer). 3. m. Rudimentos o principios de una ciencia o facultad, o de cualquier otro orden de conocimientos. no entender, o no saber, el ~. 1. locs. verbs. coloqs. Ser muy ignorante. 
abecedario	 1. m. Serie de las letras de un idioma, según el orden en que cada uno de ellos las considera colocadas. 2. m. Cartel o libro con las letras del abecedario, que sirve para enseñar a leer. 3. m. Orden alfabético. 4. m. Lista en orden alfabético. 5. m. abecé (‖ rudimentos o principios). 6. m. Impr. Orden de las signaturas de los pliegos de una impresión cuando van señalados con letras. ~ manual. 1. m. Sistema de signos que en equivalencia de las letras del alfabeto se hacen con los dedos de la mano, y que usan principalmente los sordomudos para comunicarse entre sí o con otras personas. ~ telegráfico. 1. m. Conjunto de signos o cifras que se emplean en la telegrafía. 
abedul	 1. m. Árbol de la familia de las Betuláceas, de unos diez metros de altura, con hojas pequeñas, puntiagudas y doblemente aserradas o dentadas, y dispuestas en ramillas colgantes que forman una copa de forma irregular que da escasa sombra. Abunda en los montes de Europa, y su corteza, que contiene un aceite esencial, se usa para curtir y aromatizar la piel de Rusia. 2. m. Madera de este árbol. 
abeja	 1. f. Insecto himenóptero, de unos quince milímetros de largo, de color pardo negruzco y con vello rojizo. Vive en colonias, cada una de las cuales consta de una sola hembra fecunda, muchos machos y numerosísimas hembras estériles; habita en los huecos de los árboles o de las peñas, o en las colmenas que el hombre le prepara, y produce la cera y la miel. 2. f. Persona laboriosa y previsora. ~ albañila. 1. f. Insecto himenóptero que vive apareado y hace para su morada agujeros horizontales en las tapias y en los terrenos duros. ~ carpintera. 1. (Porque fabrica su panal en los troncos secos de los árboles). f. Himenóptero del tamaño y forma del abejorro, y de color negro morado, común en España. ~ machiega. 1. f. abeja neutra. ~ maesa, o ~ maestra. 1. f. Hembra fecunda de las abejas, única en cada colmena. ~ neutra, o ~ obrera. 1. f. Cada una de las que carecen de la facultad de procrear y producen la cera y la miel. ~ reina. 1. f. abeja maesa. □ V. flor de la abeja nido de abeja 
abejar	 1. m. colmenar. □ V. uva abejar 
abejarrón	 1. m. abejorro (‖ insecto himenóptero). 2. m. Juego entre tres personas, una de las cuales, puesta en medio con las manos juntas delante de la boca, hace un ruido semejante al del abejón, y entreteniendo así a las otras dos, procura darles bofetadas y evitar las de ellas. 
abejaruco	 1. m. Pájaro del suborden de los Sindáctilos, de unos quince centímetros de longitud, con alas puntiagudas y largas y pico algo curvo, más largo que la cabeza. En su plumaje, de vistoso colorido, dominan el amarillo, el verde y el rojo oscuro. Abunda en España y es perjudicial para los colmenares, porque se come las abejas. 2. m. p. us. Persona noticiera o chismosa. 
abejero	 1. m. y f. colmenero (‖ persona que cuida de las colmenas). 2. m. abejaruco (‖ pájaro). 3. f. colmenar. 4. f. toronjil. 
abejón	 1. m. zángano. 2. m. abejorro (‖ insecto himenóptero). 3. m. escarabajo sanjuanero. 4. m. C. Rica y Hond. Nombre genérico de varias especies de escarabajo. 5. m. desus. abejarrón (‖ juego). jugar al ~ con alguien. 1. loc. verb. coloq. p. us. Tenerle en poco, tratarle con desprecio, burlarse de él. 
abejorreo	 1. m. Zumbido de las abejas y otros insectos semejantes. 2. m. Rumor confuso de voces o conversaciones. 
abejorro	 1. m. Insecto himenóptero, de dos a tres centímetros de largo, velludo y con la trompa casi de la misma longitud que el cuerpo. Vive en enjambres poco numerosos, hace el nido debajo del musgo o de piedras y zumba mucho al volar. 2. m. escarabajo sanjuanero. 3. m. Persona de conversación pesada y molesta. 
abejuno	 1. adj. desus. Perteneciente o relativo a la abeja. 
abellacado	 1. adj. Bellaco, vil. 
abellacar	 1. tr. Hacer bellaco, envilecer. U. m. c. prnl. 
abellota	 1. f. rur. bellota (‖ fruto de la encina). 
abellotado	 1. adj. De forma parecida a la de la bellota. 
abelmosco	 1. m. Planta de la familia de las Malváceas, con tallo peludo y hojas acorazonadas, angulosas, puntiagudas y aserradas. Procede de la India, y sus semillas, de olor almizcleño, se emplean en medicina y perfumería. 
abemoladamente	 1. adv. m. dulcemente. 
abemolar	 1. tr. Poner bemoles. 2. tr. Suavizar, dulcificar la voz. 
abencerraje	 1. com. Individuo de una familia del reino musulmán granadino del siglo XV, rival de la de los zegríes. □ V. zegríes y abencerrajes 
abenuz	 1. m. ébano. 
aberenjenado	 1. adj. De color o forma del fruto de la berenjena. 
aberración	 1. f. Grave error del entendimiento. 2. f. Acto o conducta depravados, perversos, o que se apartan de lo aceptado como lícito. 3. f. Astr. Desvío aparente de los astros, resultante de la combinación de la velocidad de la luz con la de los movimientos de la Tierra. 4. f. Biol. Desviación del tipo normal que en determinados casos experimenta un carácter morfológico o fisiológico. 5. f. Ópt. Imperfección de un sistema óptico que produce una imagen defectuosa. ~ cromática. 1. f. Fís. Defecto de un sistema óptico al no coincidir las imágenes de un mismo objeto producidas por los diferentes colores de la luz. ~ de esfericidad. 1. f. Ópt. Imperfección que presentan algunas imágenes producidas por sistemas ópticos al no corresponder a cada punto o recta del objeto un punto o recta, respectivamente, de la imagen. 
aberrar	 1. intr. Desviarse, extraviarse, apartarse de lo normal o usual. 
abertal	 1. adj. Dicho de una finca rústica o de un campo: Que no está cerrado con tapia, vallado ni de otra manera. 2. adj. Dicho de un terreno: Que con la sequía se agrieta. □ V. tierra abertal 
abertura	 1. f. Acción de abrir o abrirse. 2. f. Boca, hendidura, agujero. 3. f. grieta (‖ hendidura en la tierra). 4. f. Terreno ancho y abierto que media entre dos montañas. 5. f. ensenada (‖ parte de mar que entra en la tierra). 6. f. Der. apertura (‖ de un testamento). 7. f. Fon. Amplitud que los órganos articulatorios dejan al paso del aire, cuando se emite un sonido. 8. f. Fon. Cualidad que el sonido recibe según sea la amplitud que los órganos articulatorios dejan al paso del aire, cuando es emitido. 9. f. Ópt. apertura (‖ diámetro de la lente). 10. f. p. us. Franqueza, lisura en el trato y conversación. 
abesana	 1. f. desus. besana (‖ labor). 
abesón	 1. m. eneldo. 
abestiado	 1. adj. Que parece bestia. 2. adj. De bestia. 
abestializado	 1. adj. abestiado. 
abéstola	 1. f. aguijada (‖ del arado). 
abetal	 1. m. Sitio poblado de abetos. 
abetar	 1. m. abetal. 
abete	 1. m. desus. abeto. U. en el Alto Aragón. abete2. (De or. inc.; cf. fr. happe, grapa, laña, neerl. happ, morder). 1. m. Hierro pequeño, con un gancho en cada extremidad, que sirve para asegurar en el tablero la parte de paño que se tunde de una vez. 
abetinote	 1. m. Resina líquida que fluye a través de la corteza del abeto o pinabete, donde suele condensarse. 
abeto	 1. m. Árbol de la familia de las Abietáceas, que llega hasta 50 m de altura, con tronco alto y derecho, de corteza blanquecina, copa cónica de ramas horizontales, hojas aciculares y persistentes, flores poco visibles y fruto en piñas casi cilíndricas. Crece en parajes frescos y elevados, forma bosques en los Pirineos españoles, y su madera, no muy resistente, se aprecia, por su tamaño y blancura, para determinadas construcciones. 2. m. Madera de cualquiera de las especies de este árbol. ~ blanco. 1. m. abeto (‖ árbol abietáceo). ~ del norte, ~ falso, o ~ rojo. 1. m. pícea. □ V. aceite de abeto 
abetuna	 1. f. Hues. Pimpollo del abeto común. 
abetunado	 1. adj. Semejante al betún en alguna de sus cualidades. 
abetunar	 1. tr. desus. embetunar. 
abey	 1. m. Árbol leguminoso de las Antillas, de unos 20 m de altura, con hojas alternas y ovaladas, que sirven para el mantenimiento de los ganados, y cuya madera, fuerte y muy compacta, se usa en carpintería. ~ hembra. 1. m. abey. ~ macho. 1. m. Árbol tropical, de la familia de las Bignoniáceas, de gran altura y ramaje, con hojas compuestas, flores pequeñas y fruto capsular. Su madera se aprecia mucho para obras de torno. 
abia	 1. f. vulg. Ál. arándano. 
abiar	 1. m. manzanilla loca. 
abibollo	 1. m. coloq. Ál. ababol. 
